left,right,match,rule
vj43__i1____i1____ixk4__cdo9__,mg0___i1____w46___l0____vj43__,True,0
vj43__dri57_i1____qo7___cdo9__,h1____vj43__hu68__i1____fs8___,True,0
ao1___e17___ds90__vj43__ui1___,xa55__vj43__i1____n1____sz2___,True,0
tyq0__hl3___hl3___vj43__i1____,byb9__vj43__i28___yj04__i1____,True,0
i1____vj43__gx81__rr02__ixk4__,ixk4__i1____h3____vj43__m59___,True,0
bzv3__qo7___ui1___i1____vj43__,vj43__cdo9__xto84_f2____ui1___,True,0
vj43__xrd55_hu68__ui1___hn0___,vj43__d45___e95___rr02__i1____,True,0
ui1___vj43__zal81_lp3___f37___,i1____qo7___mgb62_u4____vj43__,True,0
vj43__i1____ze83__rut52_mg0___,i1____vj43__ao1___tyq0__tvr11_,True,0
vj43__z37___zal81_f2____i1____,ui1___ybj0__vj43__gx81__mx08__,True,0
rr02__i1____h1____vj43__ohi59_,i1____dri57_po16__tn6___vj43__,True,0
vj43__gl5___i1____rut52_ek6___,u4____mx08__gx81__ui1___vj43__,True,0
f37___vj43__byb9__i1____ux54__,vj43__nx2___f2____k2____ui1___,True,0
vj22__p1____w46___i1____vj43__,ab50__vj43__i1____g57___n1____,True,0
i1____fs8___vj43__ybj0__ox74__,n7____yj04__i1____d45___vj43__,True,0
k2____i1____vj22__md40__vj43__,jf4___vj43__xrd55_i1____p1____,True,0
qto54_h23___i1____vj43__i28___,i1____lj75__ao1___l07___vj43__,True,0
ybj0__olh3__byb9__i1____vj43__,wad07_i1____vj43__bzv3__u4____,True,0
zal81_fm2___ui1___vj43__o4____,o87___qo7___ui1___jf4___vj43__,True,0
hl3___jf4___vj43__ui1___l07___,i1____md40__vj22__vj43__h99___,True,0
o87___n1____vj43__i1____mx08__,h1____vj43__esl6__i1____ux87__,True,0
vj43__i1____o87___vj43__nx2___,xa55__ixk4__vj43__ui1___qo7___,True,0
tvr11_vj43__l0____ui1___hn0___,xa55__vj43__jf4___mg0___i1____,True,0
sz2___ohi59_i1____za85__vj43__,w46___sz2___vj43__i1____zr6___,True,0
ov58__i1____lj75__f37___vj43__,md40__pcc35_vj43__i1____ohi59_,True,0
i1____e17___vj43__lp3___vj22__,vj43__ov58__md40__i1____bzv3__,True,0
sef9__vj43__y19___sef9__i1____,lfc12_a89___vj43__yas1__i1____,True,0
bzv3__xto84_i1____o4____vj43__,w46___i1____rr02__vj43__i7____,True,0
vj43__d97___i1____m59___bru98_,vj43__y19___sz2___i1____ab50__,True,0
tvr11_i1____ds90__rr02__vj43__,vj43__ui1___tyq0__z37___n7____,True,0
i1____e17___h99___vj43__d45___,i1____a53___vj43__cdo9__bx29__,True,0
f45___zr6___vj43__ui1___i7____,vj43__i1____h23___tz3___a89___,True,0
i1____jx84__ze83__g57___vj43__,a53___vj43__ui1___vj43__j33___,True,0
i1____vj43__ox74__vj43__lj75__,w2____i1____vj43__sef9__a53___,True,0
sef9__vj43__i1____sef9__fs8___,jy9___i1____fs8___vj43__ohi59_,True,0
ui1___lj75__i1____ab50__vj43__,i1____yj04__vj43__o87___po16__,True,0
bzv3__vj43__ux87__m59___ui1___,s9____i1____d97___vj43__ov58__,True,0
ohi59_ohi59_i1____ds90__vj43__,ov58__ui1___l07___vj43__lp3___,True,0
vj43__mg0___i1____fm2___hn0___,jy9___i1____vj43__vj22__bx29__,True,0
vj43__i1____d45___tvr11_ux54__,y19___w46___i1____yas1__vj43__,True,0
bzv3__vj43__i1____gl5___zal81_,vj43__i1____j33___yas1__i1____,True,0
tn6___tvr11_i1____vj43__i1____,qto54_ui1___vj43__bru98_v72___,True,0
a89___i1____pcc35_vj43__ze83__,xrd55_d45___vj43__i1____jsm0__,True,0
vj43__yf5___n52___pcc35_i1____,fs8___i1____tvr11_ed7___vj43__,True,0
n7____olh3__i1____vj43__j33___,sz2___p1____vj43__zzy1__i1____,True,0
i1____vj43__lp3___rut52_e17___,d45___i1____dri57_vj43__za85__,True,0
s9____olh3__y19___vj43__ui1___,vj43__i1____bru98_bzv3__w46___,True,0
vj43__i1____hu68__w46___lp3___,h23___vj43__i1____cdo9__v72___,True,0
ao1___tvr11_vj43__i1____cdo9__,vj43__gl5___bru98_i1____sz2___,True,0
ab50__f2____vj43__i1____tvr11_,tvr11_y19___xto84_vj43__i1____,True,0
vj43__xa55__i1____yj04__ox74__,vj43__hn0___ui1___n1____i1____,True,0
i1____a89___ek6___qto54_vj43__,ox74__za85__cdo9__i1____vj43__,True,0
ux54__hn0___d97___vj43__i1____,ui1___v72___qto54_bru98_vj43__,True,0
olh3__xa55__ui1___jy9___vj43__,yj04__ui1___vj43__y19___md40__,True,0
yf5___vj43__za85__ui1___xrd55_,po16__vj43__ui1___xa55__hl3___,True,0
vj43__i1____gl5___ixk4__i1____,fs8___u85___vj43__i1____ov58__,True,0
h3____cdo9__i1____vj43__byb9__,i1____h23___mgb62_vj43__f2____,True,0
i1____f2____vj43__j33___jy9___,bx29__tyq0__i1____lfc12_vj43__,True,0
vj43__ohi59_ui1___cdo9__o87___,mgb62_s9____i1____lj75__vj43__,True,0
gl5___ohi59_i1____vj43__tvr11_,i1____i28___tyq0__vj43__ux54__,True,0
qto54_yf5___ui1___vj43__ds90__,p1____ui1___h99___i1____vj43__,True,0
ixk4__vj43__i1____yf5___d97___,vj43__rut52_tyq0__g57___i1____,True,0
vj43__vj22__i1____n52___n52___,i1____vj43__dri57_u85___mg0___,True,0
i1____vj43__byb9__wad07_rr02__,vj43__ui1___zr6___tvr11_z37___,True,0
i1____y19___vj43__jsm0__k2____,j33___g57___l0____i1____vj43__,True,0
fs8___xa55__o87___i1____vj43__,vj43__ao1___y19___d97___i1____,True,0
