"","date","location","maxtemp","sunshine","precipitation","cloudcover"
"28855",1980-01-01,"De Bilt",2.3,2.3,58,5
"28856",1980-01-02,"De Bilt",2.9,2.7,6,4
"28857",1980-01-03,"De Bilt",0.5,0,13,6
"28858",1980-01-04,"De Bilt",3.8,0,91,8
"28859",1980-01-05,"De Bilt",4.9,0,42,8
"28860",1980-01-06,"De Bilt",6.3,-0.1,62,8
"28861",1980-01-07,"De Bilt",4.7,0,3,8
"28862",1980-01-08,"De Bilt",3.1,0,8,8
"28863",1980-01-09,"De Bilt",1,0,-1,8
"28864",1980-01-10,"De Bilt",0.5,0,0,8
"28865",1980-01-11,"De Bilt",-1.4,0,-1,7
"28866",1980-01-12,"De Bilt",-2.7,6.7,0,0
"28867",1980-01-13,"De Bilt",-1.8,6.9,0,0
"28868",1980-01-14,"De Bilt",-2.7,0,0,5
"28869",1980-01-15,"De Bilt",-1.8,-0.1,0,7
"28870",1980-01-16,"De Bilt",-0.1,2.8,0,7
"28871",1980-01-17,"De Bilt",-0.7,5.8,0,2
"28872",1980-01-18,"De Bilt",-2,4.8,0,2
"28873",1980-01-19,"De Bilt",3.1,6.3,0,1
"28874",1980-01-20,"De Bilt",1.6,0,3,6
"28875",1980-01-21,"De Bilt",4.7,0,56,7
"28876",1980-01-22,"De Bilt",5.3,0,9,7
"28877",1980-01-23,"De Bilt",5,0.6,10,5
"28878",1980-01-24,"De Bilt",3.4,0.4,3,6
"28879",1980-01-25,"De Bilt",5,1,20,7
"28880",1980-01-26,"De Bilt",4.2,2.3,7,4
"28881",1980-01-27,"De Bilt",4.7,4.5,5,6
"28882",1980-01-28,"De Bilt",0.1,0,34,7
"28883",1980-01-29,"De Bilt",3.2,0,1,8
"28884",1980-01-30,"De Bilt",9.1,0.2,6,8
"28885",1980-01-31,"De Bilt",10.7,2.7,239,7
"28886",1980-02-01,"De Bilt",4,6.5,5,5
"28887",1980-02-02,"De Bilt",6.5,0,109,7
"28888",1980-02-03,"De Bilt",6.1,0,94,8
"28889",1980-02-04,"De Bilt",4.3,0.7,53,8
"28890",1980-02-05,"De Bilt",8.6,0,157,8
"28891",1980-02-06,"De Bilt",7.8,0,47,8
"28892",1980-02-07,"De Bilt",8.9,-0.1,12,8
"28893",1980-02-08,"De Bilt",10.6,-0.1,5,7
"28894",1980-02-09,"De Bilt",12.3,3.9,-1,6
"28895",1980-02-10,"De Bilt",9.2,1,4,5
"28896",1980-02-11,"De Bilt",8.8,0.2,4,5
"28897",1980-02-12,"De Bilt",7.2,0,2,7
"28898",1980-02-13,"De Bilt",8,0,0,5
"28899",1980-02-14,"De Bilt",5.2,0.9,2,6
"28900",1980-02-15,"De Bilt",7.1,0,33,8
"28901",1980-02-16,"De Bilt",7.5,0.4,-1,8
"28902",1980-02-17,"De Bilt",9.8,2.2,0,6
"28903",1980-02-18,"De Bilt",8.9,4,0,3
"28904",1980-02-19,"De Bilt",6.6,8.6,0,1
"28905",1980-02-20,"De Bilt",8.9,8.4,0,0
"28906",1980-02-21,"De Bilt",10.3,8.9,0,1
"28907",1980-02-22,"De Bilt",11.3,8.7,0,1
"28908",1980-02-23,"De Bilt",5.7,0,18,7
"28909",1980-02-24,"De Bilt",11.8,4.2,0,4
"28910",1980-02-25,"De Bilt",8.9,-0.1,-1,7
"28911",1980-02-26,"De Bilt",5.3,0,-1,8
"28912",1980-02-27,"De Bilt",4.5,0,0,8
"28913",1980-02-28,"De Bilt",5.3,0,0,8
"28914",1980-02-29,"De Bilt",8.2,0,0,8
"28915",1980-03-01,"De Bilt",10.7,5.6,-1,5
"28916",1980-03-02,"De Bilt",8,0.4,1,6
"28917",1980-03-03,"De Bilt",7.1,4.2,7,5
"28918",1980-03-04,"De Bilt",6.7,0,4,8
"28919",1980-03-05,"De Bilt",8.3,5.2,0,4
"28920",1980-03-06,"De Bilt",7.1,0.1,73,8
"28921",1980-03-07,"De Bilt",8.5,-0.1,91,8
"28922",1980-03-08,"De Bilt",8.9,0.3,26,6
"28923",1980-03-09,"De Bilt",6.2,0,-1,6
"28924",1980-03-10,"De Bilt",8.6,0.7,28,8
"28925",1980-03-11,"De Bilt",7.6,0,4,7
"28926",1980-03-12,"De Bilt",7.4,0,160,7
"28927",1980-03-13,"De Bilt",8.6,0.4,122,8
"28928",1980-03-14,"De Bilt",6.5,0.3,5,8
"28929",1980-03-15,"De Bilt",3.5,0,0,8
"28930",1980-03-16,"De Bilt",5,0,0,8
"28931",1980-03-17,"De Bilt",7.6,0.2,-1,8
"28932",1980-03-18,"De Bilt",7.1,1.8,0,7
"28933",1980-03-19,"De Bilt",2.7,0,-1,6
"28934",1980-03-20,"De Bilt",3.7,9.8,0,0
"28935",1980-03-21,"De Bilt",1.5,2.8,1,5
"28936",1980-03-22,"De Bilt",4.8,0.6,5,6
"28937",1980-03-23,"De Bilt",7.7,3,0,4
"28938",1980-03-24,"De Bilt",11.7,9.3,0,0
"28939",1980-03-25,"De Bilt",14.6,3.6,13,6
"28940",1980-03-26,"De Bilt",11,2.5,-1,6
"28941",1980-03-27,"De Bilt",14.4,-0.1,77,8
"28942",1980-03-28,"De Bilt",15,0.9,21,6
"28943",1980-03-29,"De Bilt",8.9,0,70,7
"28944",1980-03-30,"De Bilt",10.6,5.3,0,6
"28945",1980-03-31,"De Bilt",11.8,3.7,28,7
"28946",1980-04-01,"De Bilt",12.8,0,263,8
"28947",1980-04-02,"De Bilt",9.5,4.9,50,5
"28948",1980-04-03,"De Bilt",8.4,2.4,11,6
"28949",1980-04-04,"De Bilt",8.4,6.3,-1,5
"28950",1980-04-05,"De Bilt",11.1,11.6,-1,3
"28951",1980-04-06,"De Bilt",11.3,5.9,0,5
"28952",1980-04-07,"De Bilt",9.6,0.6,1,6
"28953",1980-04-08,"De Bilt",7.6,0.9,18,6
"28954",1980-04-09,"De Bilt",8,3.7,4,6
"28955",1980-04-10,"De Bilt",10.2,2,1,6
"28956",1980-04-11,"De Bilt",12.1,3,0,5
"28957",1980-04-12,"De Bilt",15.5,12.1,0,0
"28958",1980-04-13,"De Bilt",19.8,12.1,0,0
"28959",1980-04-14,"De Bilt",21.9,12.4,0,1
"28960",1980-04-15,"De Bilt",22.3,12.8,0,0
"28961",1980-04-16,"De Bilt",21.7,12.4,0,1
"28962",1980-04-17,"De Bilt",18,11.7,0,3
"28963",1980-04-18,"De Bilt",9.6,0,15,7
"28964",1980-04-19,"De Bilt",9.6,3.5,24,7
"28965",1980-04-20,"De Bilt",9.1,5.4,59,6
"28966",1980-04-21,"De Bilt",9.6,4.7,12,6
"28967",1980-04-22,"De Bilt",8.7,0,0,6
"28968",1980-04-23,"De Bilt",10.9,7.3,-1,5
"28969",1980-04-24,"De Bilt",11.8,5.9,1,6
"28970",1980-04-25,"De Bilt",8,0,15,8
"28971",1980-04-26,"De Bilt",11.1,2.1,37,6
"28972",1980-04-27,"De Bilt",14.8,8,8,4
"28973",1980-04-28,"De Bilt",8.8,0,-1,7
"28974",1980-04-29,"De Bilt",10.1,0.4,17,8
"28975",1980-04-30,"De Bilt",17.5,8.6,0,3
"28976",1980-05-01,"De Bilt",18.9,9.5,0,1
"28977",1980-05-02,"De Bilt",15,12.6,0,1
"28978",1980-05-03,"De Bilt",13,11.9,0,3
"28979",1980-05-04,"De Bilt",13.7,11.7,0,2
"28980",1980-05-05,"De Bilt",12.3,12.8,0,2
